"Code";"Name";"grand total;2023;[PLN]";
0000000;"POLAND";7595.30;
0200000;"DOLNOŚLĄSKIE";7850.30;
0201000;"Powiat bolesławiecki";6871.28;
0202000;"Powiat dzierżoniowski";6459.49;
0203000;"Powiat głogowski";6660.00;
0204000;"Powiat górowski";6060.11;
0205000;"Powiat jaworski";7059.41;
0206000;"Powiat karkonoski";6287.20;
0207000;"Powiat kamiennogórski";6213.96;
0208000;"Powiat kłodzki";6527.23;
0209000;"Powiat legnicki";6977.28;
0210000;"Powiat lubański";6215.31;
0211000;"Powiat lubiński";12804.03;
0212000;"Powiat lwówecki";6194.99;
0213000;"Powiat milicki";6083.81;
0214000;"Powiat oleśnicki";6496.00;
0215000;"Powiat oławski";6871.32;
0216000;"Powiat polkowicki";7764.33;
0217000;"Powiat strzeliński";7147.32;
0218000;"Powiat średzki";7322.95;
0219000;"Powiat świdnicki";6764.59;
0220000;"Powiat trzebnicki";6743.32;
0221000;"Powiat wałbrzyski";6099.58;
0222000;"Powiat wołowski";7922.52;
0223000;"Powiat wrocławski";8214.48;
0224000;"Powiat ząbkowicki";6223.41;
0225000;"Powiat zgorzelecki";6812.01;
0226000;"Powiat złotoryjski";7310.37;
0261000;"City with powiat status Jelenia Góra";7101.35;
0262000;"City with powiat status Legnica";6901.05;
0264000;"City with powiat status Wrocław";8334.84;
0265000;"City with powiat status Wałbrzych since 2013";7584.09;
0400000;"KUJAWSKO-POMORSKIE";6721.48;
0401000;"Powiat aleksandrowski";6019.18;
0402000;"Powiat brodnicki";5919.35;
0403000;"Powiat bydgoski";6461.57;
0404000;"Powiat chełmiński";5970.02;
0405000;"Powiat golubsko-dobrzyński";6678.54;
0406000;"Powiat grudziądzki";6220.48;
0407000;"Powiat inowrocławski";6449.06;
0408000;"Powiat lipnowski";5658.46;
0409000;"Powiat mogileński";6386.99;
0410000;"Powiat nakielski";6603.55;
0411000;"Powiat radziejowski";6076.36;
0412000;"Powiat rypiński";5844.89;
0413000;"Powiat sępoleński";5892.07;
0414000;"Powiat świecki";6561.15;
0415000;"Powiat toruński";6185.35;
0416000;"Powiat tucholski";5840.11;
0417000;"Powiat wąbrzeski";6249.49;
0418000;"Powiat włocławski";5925.34;
0419000;"Powiat żniński";5985.65;
0461000;"City with powiat status Bydgoszcz";7478.19;
0462000;"City with powiat status Grudziądz";6034.07;
0463000;"City with powiat status Toruń";7308.74;
0464000;"City with powiat status Włocławek";6687.25;
0600000;"LUBELSKIE";6774.52;
0601000;"Powiat bialski";5953.72;
0602000;"Powiat biłgorajski";5694.27;
0603000;"Powiat chełmski";5793.46;
0604000;"Powiat hrubieszowski";6247.83;
0605000;"Powiat janowski";6336.93;
0606000;"Powiat krasnostawski";6131.62;
0607000;"Powiat kraśnicki";5937.05;
0608000;"Powiat lubartowski";5894.65;
0609000;"Powiat lubelski";5868.83;
0610000;"Powiat łęczyński";10420.06;
0611000;"Powiat łukowski";5816.88;
0612000;"Powiat opolski";5808.93;
0613000;"Powiat parczewski";6140.77;
0614000;"Powiat puławski";6871.29;
0615000;"Powiat radzyński";6233.24;
0616000;"Powiat rycki";5946.05;
0617000;"Powiat świdnicki";6954.42;
0618000;"Powiat tomaszowski";5859.33;
0619000;"Powiat włodawski";6000.38;
0620000;"Powiat zamojski";5642.09;
0661000;"City with powiat status Biała Podlaska";6400.24;
0662000;"City with powiat status Chełm";6349.53;
0663000;"City with powiat status Lublin";7443.57;
0664000;"City with powiat status Zamość";6679.65;
0800000;"LUBUSKIE";6882.46;
0801000;"Powiat gorzowski";7139.07;
0802000;"Powiat krośnieński";6637.01;
0803000;"Powiat międzyrzecki";6625.23;
0804000;"Powiat nowosolski";6766.75;
0805000;"Powiat słubicki";6701.31;
0806000;"Powiat strzelecko-drezdenecki";6383.30;
0807000;"Powiat sulęciński";6018.27;
0808000;"Powiat świebodziński";6975.86;
0809000;"Powiat zielonogórski";6866.37;
0810000;"Powiat żagański";6259.95;
0811000;"Powiat żarski";6929.71;
0812000;"Powiat wschowski";6247.33;
0861000;"City with powiat status Gorzów Wielkopolski";6713.76;
0862000;"City with powiat status Zielona Góra";7487.10;
1000000;"ŁÓDZKIE";7052.93;
1001000;"Powiat bełchatowski";9268.84;
1002000;"Powiat kutnowski";6598.59;
1003000;"Powiat łaski";5879.09;
1004000;"Powiat łęczycki";6905.17;
1005000;"Powiat łowicki";6192.74;
1006000;"Powiat łódzki wschodni";6313.01;
1007000;"Powiat opoczyński";6391.34;
1008000;"Powiat pabianicki";6349.64;
1009000;"Powiat pajęczański";6143.74;
1010000;"Powiat piotrkowski";5846.87;
1011000;"Powiat poddębicki";8302.47;
1012000;"Powiat radomszczański";6032.02;
1013000;"Powiat rawski";6172.78;
1014000;"Powiat sieradzki";6435.58;
1015000;"Powiat skierniewicki";6092.92;
1016000;"Powiat tomaszowski";6341.69;
1017000;"Powiat wieluński";6238.07;
1018000;"Powiat wieruszowski";5645.70;
1019000;"Powiat zduńskowolski";6087.95;
1020000;"Powiat zgierski";6749.27;
1021000;"Powiat brzeziński";6050.65;
1061000;"City with powiat status Łódź";7548.10;
1062000;"City with powiat status Piotrków Trybunalski";6168.36;
1063000;"City with powiat status Skierniewice";6503.98;
1200000;"MAŁOPOLSKIE";7736.56;
1201000;"Powiat bocheński";6184.90;
1202000;"Powiat brzeski";5894.20;
1203000;"Powiat chrzanowski";6898.73;
1204000;"Powiat dąbrowski";6065.58;
1205000;"Powiat gorlicki";5761.59;
1206000;"Powiat krakowski";7252.41;
1207000;"Powiat limanowski";5935.46;
1208000;"Powiat miechowski";6131.46;
1209000;"Powiat myślenicki";6224.14;
1210000;"Powiat nowosądecki";5909.25;
1211000;"Powiat nowotarski";5858.04;
1212000;"Powiat olkuski";6553.06;
1213000;"Powiat oświęcimski";6512.03;
1214000;"Powiat proszowicki";6178.05;
1215000;"Powiat suski";6182.10;
1216000;"Powiat tarnowski";5678.11;
1217000;"Powiat tatrzański";6396.51;
1218000;"Powiat wadowicki";6048.26;
1219000;"Powiat wielicki";7019.50;
1261000;"City with powiat status Kraków";9223.73;
1262000;"City with powiat status Nowy Sącz";6253.50;
1263000;"City with powiat status Tarnów";7650.54;
1400000;"MAZOWIECKIE";8928.60;
1401000;"Powiat białobrzeski";6300.44;
1402000;"Powiat ciechanowski";6842.35;
1403000;"Powiat garwoliński";6409.48;
1404000;"Powiat gostyniński";6601.43;
1405000;"Powiat grodziski";7897.77;
1406000;"Powiat grójecki";6985.39;
1407000;"Powiat kozienicki";8404.56;
1408000;"Powiat legionowski";6827.81;
1409000;"Powiat lipski";6451.23;
1410000;"Powiat łosicki";6090.84;
1411000;"Powiat makowski";6268.57;
1412000;"Powiat miński";6445.47;
1413000;"Powiat mławski";6083.27;
1414000;"Powiat nowodworski";8250.46;
1415000;"Powiat ostrołęcki";6381.43;
1416000;"Powiat ostrowski";6304.42;
1417000;"Powiat otwocki";7241.67;
1418000;"Powiat piaseczyński";7302.29;
1419000;"Powiat płocki";6536.77;
1420000;"Powiat płoński";6421.42;
1421000;"Powiat pruszkowski";8411.30;
1422000;"Powiat przasnyski";6316.92;
1423000;"Powiat przysuski";6436.32;
1424000;"Powiat pułtuski";6240.56;
1425000;"Powiat radomski";6042.37;
1426000;"Powiat siedlecki";6084.48;
1427000;"Powiat sierpecki";6219.27;
1428000;"Powiat sochaczewski";7733.67;
1429000;"Powiat sokołowski";6368.58;
1430000;"Powiat szydłowiecki";5841.38;
1432000;"Powiat warszawski zachodni";7981.78;
1433000;"Powiat węgrowski";6615.26;
1434000;"Powiat wołomiński";6910.12;
1435000;"Powiat wyszkowski";6264.25;
1436000;"Powiat zwoleński";6376.01;
1437000;"Powiat żuromiński";6064.88;
1438000;"Powiat żyrardowski";7232.39;
1461000;"City with powiat status Ostrołęka";7571.74;
1462000;"City with powiat status Płock";9151.56;
1463000;"City with powiat status Radom";7041.60;
1464000;"City with powiat status Siedlce";7024.63;
1465000;"City with powiat status Capital City Warszawa";9625.74;
1600000;"OPOLSKIE";6975.81;
1601000;"Powiat brzeski";6555.17;
1602000;"Powiat głubczycki";6876.31;
1603000;"Powiat kędzierzyńsko-kozielski";7528.75;
1604000;"Powiat kluczborski";6450.59;
1605000;"Powiat krapkowicki";7254.86;
1606000;"Powiat namysłowski";6620.13;
1607000;"Powiat nyski";6422.66;
1608000;"Powiat oleski";6255.53;
1609000;"Powiat opolski";6431.26;
1610000;"Powiat prudnicki";6491.85;
1611000;"Powiat strzelecki";6878.52;
1661000;"City with powiat status Opole";7516.59;
1800000;"PODKARPACKIE";6436.15;
1801000;"Powiat bieszczadzki";6326.11;
1802000;"Powiat brzozowski";5779.73;
1803000;"Powiat dębicki";6182.14;
1804000;"Powiat jarosławski";6081.53;
1805000;"Powiat jasielski";6179.28;
1806000;"Powiat kolbuszowski";5770.90;
1807000;"Powiat krośnieński";5553.11;
1808000;"Powiat leżajski";6013.13;
1809000;"Powiat lubaczowski";5984.93;
1810000;"Powiat łańcucki";5930.62;
1811000;"Powiat mielecki";6434.27;
1812000;"Powiat niżański";5686.54;
1813000;"Powiat przemyski";5709.00;
1814000;"Powiat przeworski";5818.63;
1815000;"Powiat ropczycko-sędziszowski";6169.80;
1816000;"Powiat rzeszowski";6505.42;
1817000;"Powiat sanocki";6027.66;
1818000;"Powiat stalowowolski";6705.72;
1819000;"Powiat strzyżowski";5641.69;
1820000;"Powiat tarnobrzeski";6404.66;
1821000;"Powiat leski";6434.16;
1861000;"City with powiat status Krosno";6135.13;
1862000;"City with powiat status Przemyśl";6251.54;
1863000;"City with powiat status Rzeszów";7428.94;
1864000;"City with powiat status Tarnobrzeg";6266.91;
2000000;"PODLASKIE";6805.04;
2001000;"Powiat augustowski";6705.11;
2002000;"Powiat białostocki";6296.44;
2003000;"Powiat bielski";7541.54;
2004000;"Powiat grajewski";6782.16;
2005000;"Powiat hajnowski";6831.47;
2006000;"Powiat kolneński";6250.52;
2007000;"Powiat łomżyński";7019.38;
2008000;"Powiat moniecki";6314.59;
2009000;"Powiat sejneński";7487.35;
2010000;"Powiat siemiatycki";6192.78;
2011000;"Powiat sokólski";6226.76;
2012000;"Powiat suwalski";6099.96;
2013000;"Powiat wysokomazowiecki";6748.30;
2014000;"Powiat zambrowski";6505.09;
2061000;"City with powiat status Białystok";7089.31;
2062000;"City with powiat status Łomża";6702.05;
2063000;"City with powiat status Suwałki";6329.52;
2200000;"POMORSKIE";7550.99;
2201000;"Powiat bytowski";6650.73;
2202000;"Powiat chojnicki";6114.44;
2203000;"Powiat człuchowski";6355.73;
2204000;"Powiat gdański";6959.38;
2205000;"Powiat kartuski";6298.93;
2206000;"Powiat kościerski";6159.34;
2207000;"Powiat kwidzyński";6579.01;
2208000;"Powiat lęborski";6600.16;
2209000;"Powiat malborski";6077.46;
2210000;"Powiat nowodworski";6456.26;
2211000;"Powiat pucki";6686.91;
2212000;"Powiat słupski";6357.82;
2213000;"Powiat starogardzki";7046.42;
2214000;"Powiat tczewski";6836.04;
2215000;"Powiat wejherowski";6276.90;
2216000;"Powiat sztumski";6362.83;
2261000;"City with powiat status Gdańsk";8915.97;
2262000;"City with powiat status Gdynia";7890.40;
2263000;"City with powiat status Słupsk";6870.69;
2264000;"City with powiat status Sopot";8478.32;
2400000;"ŚLĄSKIE";7611.38;
2401000;"Powiat będziński";6502.13;
2402000;"Powiat bielski";6612.98;
2403000;"Powiat cieszyński";6529.01;
2404000;"Powiat częstochowski";6483.73;
2405000;"Powiat gliwicki";6931.46;
2406000;"Powiat kłobucki";6030.62;
2407000;"Powiat lubliniecki";6427.79;
2408000;"Powiat mikołowski";6733.88;
2409000;"Powiat myszkowski";6303.39;
2410000;"Powiat pszczyński";6607.42;
2411000;"Powiat raciborski";7283.63;
2412000;"Powiat rybnicki";6596.65;
2413000;"Powiat tarnogórski";7145.99;
2414000;"Powiat bieruńsko-lędziński";6356.50;
2415000;"Powiat wodzisławski";6189.57;
2416000;"Powiat zawierciański";6855.49;
2417000;"Powiat żywiecki";6593.79;
2461000;"City with powiat status Bielsko-Biała";7231.58;
2462000;"City with powiat status Bytom";7206.77;
2463000;"City with powiat status Chorzów";6555.69;
2464000;"City with powiat status Częstochowa";6715.44;
2465000;"City with powiat status Dąbrowa Górnicza";8029.95;
2466000;"City with powiat status Gliwice";8391.75;
2468000;"City with powiat status Jaworzno";8417.97;
2469000;"City with powiat status Katowice";9105.52;
2470000;"City with powiat status Mysłowice";6438.78;
2471000;"City with powiat status Piekary Śląskie";7654.72;
2472000;"City with powiat status Ruda Śląska";6668.08;
2473000;"City with powiat status Rybnik";6938.12;
2474000;"City with powiat status Siemianowice Śląskie";6887.29;
2475000;"City with powiat status Sosnowiec";6973.22;
2476000;"City with powiat status Świętochłowice";6361.63;
2477000;"City with powiat status Tychy";7163.78;
2478000;"City with powiat status Zabrze";7438.82;
2479000;"City with powiat status Żory";6560.84;
2600000;"ŚWIĘTOKRZYSKIE";6585.16;
2601000;"Powiat buski";6202.45;
2602000;"Powiat jędrzejowski";6607.59;
2603000;"Powiat kazimierski";5821.56;
2604000;"Powiat kielecki";5989.91;
2605000;"Powiat konecki";6106.87;
2606000;"Powiat opatowski";5804.43;
2607000;"Powiat ostrowiecki";6179.43;
2608000;"Powiat pińczowski";6467.94;
2609000;"Powiat sandomierski";6781.04;
2610000;"Powiat skarżyski";6633.92;
2611000;"Powiat starachowicki";6426.80;
2612000;"Powiat staszowski";6829.75;
2613000;"Powiat włoszczowski";6814.57;
2661000;"City with powiat status Kielce";7062.45;
2800000;"WARMIŃSKO-MAZURSKIE";6447.09;
2801000;"Powiat bartoszycki";6122.19;
2802000;"Powiat braniewski";6027.94;
2803000;"Powiat działdowski";6074.09;
2804000;"Powiat elbląski";5875.00;
2805000;"Powiat ełcki";6016.73;
2806000;"Powiat giżycki";6247.30;
2807000;"Powiat iławski";5813.96;
2808000;"Powiat kętrzyński";5812.87;
2809000;"Powiat lidzbarski";5937.86;
2810000;"Powiat mrągowski";5996.73;
2811000;"Powiat nidzicki";5748.08;
2812000;"Powiat nowomiejski";5242.25;
2813000;"Powiat olecki";6079.37;
2814000;"Powiat olsztyński";6561.71;
2815000;"Powiat ostródzki";6075.06;
2816000;"Powiat piski";6368.76;
2817000;"Powiat szczycieński";6197.95;
2818000;"Powiat gołdapski";5876.11;
2819000;"Powiat węgorzewski";6238.76;
2861000;"City with powiat status Elbląg";6801.75;
2862000;"City with powiat status Olsztyn";7386.70;
3000000;"WIELKOPOLSKIE";6772.06;
3001000;"Powiat chodzieski";6157.04;
3002000;"Powiat czarnkowsko-trzcianecki";6431.04;
3003000;"Powiat gnieźnieński";6326.21;
3004000;"Powiat gostyński";6455.99;
3005000;"Powiat grodziski";6233.27;
3006000;"Powiat jarociński";6018.31;
3007000;"Powiat kaliski";5987.02;
3008000;"Powiat kępiński";5319.34;
3009000;"Powiat kolski";6552.92;
3010000;"Powiat koniński";5665.09;
3011000;"Powiat kościański";6677.52;
3012000;"Powiat krotoszyński";5440.35;
3013000;"Powiat leszczyński";6713.55;
3014000;"Powiat międzychodzki";6176.39;
3015000;"Powiat nowotomyski";6461.00;
3016000;"Powiat obornicki";6446.61;
3017000;"Powiat ostrowski";6197.61;
3018000;"Powiat ostrzeszowski";6071.58;
3019000;"Powiat pilski";6794.93;
3020000;"Powiat pleszewski";6214.03;
3021000;"Powiat poznański";6458.00;
3022000;"Powiat rawicki";6006.06;
3023000;"Powiat słupecki";6063.01;
3024000;"Powiat szamotulski";6930.64;
3025000;"Powiat średzki";6736.22;
3026000;"Powiat śremski";6062.53;
3027000;"Powiat turecki";5751.05;
3028000;"Powiat wągrowiecki";6130.17;
3029000;"Powiat wolsztyński";6226.06;
3030000;"Powiat wrzesiński";6441.44;
3031000;"Powiat złotowski";5550.19;
3061000;"City with powiat status Kalisz";6617.76;
3062000;"City with powiat status Konin";6634.81;
3063000;"City with powiat status Leszno";6736.54;
3064000;"City with powiat status Poznań";8303.38;
3200000;"ZACHODNIOPOMORSKIE";7007.40;
3201000;"Powiat białogardzki";6472.12;
3202000;"Powiat choszczeński";6256.58;
3203000;"Powiat drawski";6073.21;
3204000;"Powiat goleniowski";6734.89;
3205000;"Powiat gryficki";6157.01;
3206000;"Powiat gryfiński";6665.53;
3207000;"Powiat kamieński";6058.19;
3208000;"Powiat kołobrzeski";6427.16;
3209000;"Powiat koszaliński";6355.69;
3210000;"Powiat myśliborski";6403.68;
3211000;"Powiat policki";7366.79;
3212000;"Powiat pyrzycki";6341.32;
3213000;"Powiat sławieński";5911.21;
3214000;"Powiat stargardzki";6404.24;
3215000;"Powiat szczecinecki";6474.24;
3216000;"Powiat świdwiński";6050.51;
3217000;"Powiat wałecki";6651.30;
3218000;"Powiat łobeski";6257.92;
3261000;"City with powiat status Koszalin";6828.27;
3262000;"City with powiat status Szczecin";7933.31;
3263000;"City with powiat status Świnoujście";6847.78;
